"旧库公司ID","旧库名称","结论","对应启用招聘主体","主体范围说明","归属依据","旧招聘入口","本轮检查证据","以往检查证据"
"co_017555a16832e7de41eb","德国史太白技术管理中国总部","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/2rKDwY9fDY99rVqTwvYwGg","unreadable_article | 2026-09-17T15:50:32.924Z | artifacts/full-registry-review-20260917/discover-wechat/4c92f9735cb707c9/discovery.json",""
"co_2ace649224db984de978","德国国家旅游局北京办事处","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/Z04Sdgd8a2ICLU7Q3p6AvQ","retrieved_no_api_link | 2026-09-17T15:50:05.974Z | artifacts/full-registry-review-20260917/discover-wechat/3b70d535ce91d712/discovery.json",""
"co_72175c5762281ecbd3ac","德塔文科技","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/DY1vCWbmK-G5YSGCv1R44w","retrieved_no_api_link | 2026-09-17T15:50:33.526Z | artifacts/full-registry-review-20260917/discover-wechat/07686513498bd4f1/discovery.json",""
"co_b4701995669a0327bbbc","德塔智能","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/CJcNW7eHgDRMMiyXeg5Pug","retrieved_no_api_link | 2026-09-17T15:50:07.512Z | artifacts/full-registry-review-20260917/discover-wechat/2b0e9166b542f9aa/discovery.json",""
"co_894fc7ede997593b2db9","德尔玛-补录","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://xy.liepin.com/deerma/gangwei.html","no_api_discovered | 2026-09-17T15:29:40.428Z | artifacts/full-registry-review-20260917/platform-recovery/batch-liepin-boss_zhipin-nowcoder-taleo-oracle_recruiting-greenhouse.json","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_894fc7ede997593b2db9/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/co_894fc7ede997593b2db9/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_afeea51812c6ea619cb3","德尔玛集团","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://xy.liepin.com/deerma/gangwei.html","no_api_discovered | 2026-09-17T15:29:40.446Z | artifacts/full-registry-review-20260917/platform-recovery/batch-liepin-boss_zhipin-nowcoder-taleo-oracle_recruiting-greenhouse.json",""
"co_e1ad1fbdc47b3696d5ec","德州仪器","已关联启用招聘来源","德州仪器","主体已在启用来源中，核验时间见证据。","","https://app.mokahr.com/campus-recruitment/ti/142216?sourceToken=48ea342d6a82b5481b606423d888d353#/
https://app.mokahr.com/campus-recruitment/ti/143986#/jobs?commitment%5B0%5D=%E5%AE%9E%E4%B9%A0&page=1&anchorName=jobsList
https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=3859a56fadf573e23dfdfadac657d2d3#/
https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=afd3449a01e82b41d9e5b3074974967f#/","","../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/verified/company-e1ad1fbdc47b/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/missing-sites-verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/missing-sites-verified/company-e1ad1fbdc47b/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/manifest-before-multisite.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_c844cb4f0cb1801c204e","德州仪器-成都制造基地","已关联启用招聘来源","德州仪器","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","当前 API 配置与既有招聘主体同租户/频道；官方门户组织信息及保存的完整 JD 与该主体相符。原候选中的招聘专项、岗位方向或子组织称呼不另计公司。","https://app.mokahr.com/campus-recruitment/ti/143986#/jobs?zhineng%5B0%5D=193669&page=1&anchorName=jobsList
https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=18df34a6fe7bca5ac6c576bda5b266dd#/jobs?page=1&anchorName=jobsList","verified_api_full_jd | 2026-09-17T15:26:18.465Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_c844cb4f0cb1801c204e/verification.json",""
"co_30233cbfa1bc99d15efa","德州仪器-热招岗位","已关联启用招聘来源","德州仪器","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=4cbc7c6106d9cefd7521e5250bc9b822#/","",""
"co_6c73ec664c7810d3a573","德州仪器-节前招聘专场","已关联启用招聘来源","德州仪器","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=20933e4b95f379da35c838a1f3a84736#/","",""
"co_1e16a2cb4f6940a0c13f","德州仪器-补录","已关联启用招聘来源","德州仪器","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=3669166559a56f0af418ca1a9a12ef75#/","",""
"co_7706af246d2770da5f4f","德州仪器-补招","已关联启用招聘来源","德州仪器","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=8b02b73fd71756fc2dd211886d581183#/","",""
"co_abd6b5a8bfeef555377e","德州仪器-补招专场","已关联启用招聘来源","德州仪器","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=439f611eaeedab4f4529c9988ca98c82#/","",""
"co_25c54b8ee01ec37c4eac","德州仪器成都制造基地","API返回岗位但未证实完整JD","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://app.mokahr.com/campus-recruitment/ti/142216?sourceToken=eefdb1eba1f0993c5d827fafc1a8e0e8#/jobs?department%5B0%5D=3770252","api_incomplete | 2026-09-17T15:26:17.241Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_25c54b8ee01ec37c4eac/verification.json",""
"co_198ca9b1a1de518b68d4","德州祥龙","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/7X-Z2QLKKtbT9r31mnVyUA
https://mp.weixin.qq.com/s/LpIPZ4frOoP26s0axfA1qg","retrieved_no_api_link | 2026-09-17T15:50:34.225Z | artifacts/full-registry-review-20260917/discover-wechat/a0266736cf30d92f/discovery.json
retrieved_no_api_link | 2026-09-17T15:50:10.616Z | artifacts/full-registry-review-20260917/discover-wechat/f389deacdfdc10a5/discovery.json",""
"co_c07347b8f640bb886d4d","德州银行","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://dezhoubank.zhaopin.com/","no_api_discovered | 2026-09-17T15:29:56.287Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_b819778fb102ae1415ca","德康集团","已关联启用招聘来源","德康集团","主体已在启用来源中，核验时间见证据。","","https://wecruit.hotjob.cn/SU65dc3cc91c240e4b11c15bb9/mc/position/campus","","artifacts/industry-expansion-20260917/verify-ats-1/manifest.json
artifacts/industry-expansion-20260917/verify-ats-1/co_b819778fb102ae1415ca/verification.json"
"co_e60aafff5792cf32bf4d","德意志银行","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/Sh_oHuIr-yTvvi-4t1fm0g","unverified | 2026-09-17T16:03:03.224Z | artifacts/full-registry-review-20260917/verify-followups-delta1/co_e60aafff5792cf32bf4d/verification.json
followup_links | 2026-09-17T15:50:34.587Z | artifacts/full-registry-review-20260917/discover-wechat/b0caba3cfc7f6a7d/discovery.json",""
"co_f7c3be1f0695ada8ae55","德才股份","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/sns0JQRbRZx7dd6DPxNrsg","retrieved_no_api_link | 2026-09-17T15:50:10.658Z | artifacts/full-registry-review-20260917/discover-wechat/b6bede12f5fad9df/discovery.json",""
"co_b412a2044044b43a8527","德扬智能","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/c4BffKc8iZpkJOYwNBU-oA","retrieved_no_api_link | 2026-09-17T15:50:35.714Z | artifacts/full-registry-review-20260917/discover-wechat/1ab773ed9bb3278f/discovery.json",""
"co_60896f8b0275f7c2a80d","德方纳米","已关联启用招聘来源","德方纳米","主体已在启用来源中，核验时间见证据。","","https://dynanonic.zhiye.com/campus/jobs","","../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/manifest-before-multisite.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/verified/company-60896f8b0275/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_89d2f3a48759e98ddc06","德施曼","已关联启用招聘来源","德施曼","主体已在启用来源中，核验时间见证据。","大易完整 JD company=浙江德施曼科技智能股份有限公司。","https://desman.hotjob.cn/","verified_api_full_jd | 2026-09-17T15:26:17.754Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_89d2f3a48759e98ddc06/verification.json",""
"co_fd4ca80f705d59be290d","德昌电机集团","本轮访问失败／受限","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://johnsonelectric.tupu360.com/position/list?enter=menu&lang=zh_CN&type=CAMPUSRECRUITMENT","transport_error | 2026-09-17T15:31:46.134Z | artifacts/full-registry-review-20260917/discover-portal/83b165bb2055299f/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_fd4ca80f705d59be290d/verification.json"
"co_e60487e5616479a3ac5a","德普特电子","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/z-JttPdMDUH-re2Ydu3lrA","retrieved_no_api_link | 2026-09-17T15:50:12.594Z | artifacts/full-registry-review-20260917/discover-wechat/0b104ea91d422e59/discovery.json",""
"co_8a03f475a9d588421d8b","德汇电子","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/kVhPyuKC0wl6T3mTB22L5A","retrieved_no_api_link | 2026-09-17T15:50:39.066Z | artifacts/full-registry-review-20260917/discover-wechat/dc23af845f61b7ef/discovery.json",""
"co_f77e4d3396face810ce1","德珹控股集团","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/WBsmlnFGtsRiclnt6mTV_g
https://www.zhaopin.com/jobdetail/CC218053620J40821134605.htm?refcode=4021&srccode=402101&preactionid=404b3fb6-b23b-477f-aa43-0949f0410267","retrieved_no_api_link | 2026-09-17T15:50:12.597Z | artifacts/full-registry-review-20260917/discover-wechat/24e0d8b57848fe3e/discovery.json
no_api_discovered | 2026-09-17T15:29:56.319Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_19cec9e99bfd4cc0b4d1","德电咨询电信组","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/M4nVxxslTMYiX4sMnmXCgw","retrieved_no_api_link | 2026-09-17T15:50:39.169Z | artifacts/full-registry-review-20260917/discover-wechat/a3ec3f9be04ae7c0/discovery.json",""
"co_4ac6e2208af1cf78fe72","德石股份","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/YuWAwEOV5Z2c_bR74AM0Rw","retrieved_no_api_link | 2026-09-17T15:50:14.134Z | artifacts/full-registry-review-20260917/discover-wechat/23f647dde90f3aaf/discovery.json",""
"co_97e4b85ce33102a3a1dc","德硕管理咨询","API当前为空","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://xyz.51job.com/consumer/pc/home/index?ctmid=8989992","api_empty | 2026-09-17T15:29:56.324Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_24d21059c4e521c792c9","德硕管理咨询(上海)","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/4Xm7dY_-YP0qdxy5BXLKEA","retrieved_no_api_link | 2026-09-17T15:50:40.102Z | artifacts/full-registry-review-20260917/discover-wechat/fd5b2dd7431d6d1f/discovery.json",""
"co_ef47a322aad30c9e2aa9","德硕管理咨询(深圳)","API当前为空","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://xyz.51job.com/consumer/pc/home/index?ctmid=8989992","api_empty | 2026-09-17T15:29:56.358Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_baeb66cbb48294751d95","德莎","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://app.mokahr.com/social-recruitment/tesa/142951?locale=zh-CN#/jobs","empty_api_no_new_route | 见原始记录 | artifacts/full-registry-review-20260917/ats-recovery/manifest.json","artifacts/industry-expansion-20260917/verify-ats-2/manifest.json
artifacts/industry-expansion-20260917/verify-ats-2/co_baeb66cbb48294751d95/verification.json"
"co_78ab6abba2185b665189","德莎胶带","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://wxb9cd25bae4df0d3f.wx.moseeker.com/m/position?share_time=1743990714531&forward_id=e257bc34135211f09cf900163e2ee5ff&candidate_source=1&wechat_signature=MTE0NTk1ODIyNjI1NzM4MzQyNDcwOTUyMTDlvrfojo7mi5vogZg%3D&recom=cmfgxxxxxe","retrieved_no_api_link | 2026-09-17T15:31:46.811Z | artifacts/full-registry-review-20260917/discover-portal/11e0e726705d0112/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_78ab6abba2185b665189/verification.json"
"co_6cf90690b76e69434294","德诚珠宝集团","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/1xI72IiHbjQrVvUfnyyEWQ","retrieved_no_api_link | 2026-09-17T15:50:15.671Z | artifacts/full-registry-review-20260917/discover-wechat/210c859d975c6bcf/discovery.json",""
"co_c8dac6ec256f9aa01d76","德赛西威","已关联启用招聘来源","德赛西威","主体已在启用来源中，核验时间见证据。","","https://yesv-desaysv.jobs.feishu.cn/campus
https://yesv-desaysv.jobs.feishu.cn/campus?spread=TWR24ZT","","../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/verified/company-c8dac6ec256f/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/manifest-before-multisite.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_30d5b8e98657f65dd489","德邦基金","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://app.mokahr.com/campus-recruitment/imtebon/116246#/job/04c1f639-ddb9-4f88-9ccd-83276374fb7b","covered_by_current_registry | 见原始记录 | artifacts/full-registry-review-20260917/ats-recovery/manifest.json","artifacts/industry-expansion-20260917/verify-ats-0/manifest.json
artifacts/industry-expansion-20260917/verify-ats-0/co_30d5b8e98657f65dd489/verification.json"
"co_eaf782a7dfe2dd8e7fd3","德邦快递","已关联启用招聘来源","德邦快递","主体已在启用来源中，核验时间见证据。","","http://zhaopin.deppon.com/campus","","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_eaf782a7dfe2dd8e7fd3/verification.json"
"co_245e3de7c68c6545f500","德邦快递-销售海豚生项目","已关联启用招聘来源","德邦快递","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","http://zhaopin.deppon.com/campus_post?p=3%5E21","","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_245e3de7c68c6545f500/verification.json"
"co_791a10e946eacc11b599","德邦科技","已关联启用招聘来源","德邦快递","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","原候选德邦科技错误链接指向 zhaopin.deppon.com；北森 Alias=德邦快递，与现有德邦快递一致。德邦科技不能加入 aliases。","http://zhaopin.deppon.com/campus_post?p=1%5E66","verified_api_full_jd | 2026-09-17T15:39:09.514Z | artifacts/full-registry-review-20260917/verify-portal-ats/co_791a10e946eacc11b599/verification.json
observed_ats_links | 2026-09-17T15:31:47.220Z | artifacts/full-registry-review-20260917/discover-portal/d4ab580327435dff/discovery.json",""
"co_67b49b05cdde78e95ff0","德邦证券","已关联启用招聘来源","德邦证券","主体已在启用来源中，核验时间见证据。","","https://app.mokahr.com/campus-recruitment/imtebon/74049#/jobs","","artifacts/industry-expansion-20260917/verify-ats-1/manifest.json
artifacts/industry-expansion-20260917/verify-ats-1/co_67b49b05cdde78e95ff0/verification.json"
"co_4444d2c1948b00982ced","德银中国","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/dibqPPtyHCHQR5TvJeycuw","unverified | 2026-09-17T16:03:00.661Z | artifacts/full-registry-review-20260917/verify-followups-delta1/co_4444d2c1948b00982ced/verification.json
followup_links | 2026-09-17T15:50:40.351Z | artifacts/full-registry-review-20260917/discover-wechat/1f6ff414fdfec29d/discovery.json",""
"co_27d5f5644891e30c1ea9","徽商银行","API返回岗位但未证实完整JD","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","http://campus.51job.com/ahhrzhaopin2025/job.html
http://rczp.hsbank.com.cn/pc#/InternshipDetails?id=921&type=2&channelCode=sxszp
http://rczp.hsbank.com.cn/pc#/homepage
https://rczp.hsbank.com.cn/pc#/InternshipDetails?id=947&type=1&channelCode=xyzp60682
https://rczp.hsbank.com.cn/pc#/InternshipDetails?id=951&type=2&channelCode=sxszp","transport_error | 2026-09-17T15:31:47.738Z | artifacts/full-registry-review-20260917/discover-portal/01fc6a38d524876f/discovery.json
transport_error | 2026-09-17T15:31:47.738Z | artifacts/full-registry-review-20260917/discover-portal/01fc6a38d524876f/discovery.json
transport_error | 2026-09-17T15:31:47.522Z | artifacts/full-registry-review-20260917/discover-portal/702c6df1b63a75d1/discovery.json
transport_error | 2026-09-17T15:31:47.522Z | artifacts/full-registry-review-20260917/discover-portal/702c6df1b63a75d1/discovery.json
api_incomplete | 2026-09-17T15:29:56.553Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_27d5f5644891e30c1ea9/verification.json"
"co_60e5b42d240ef0fa0b2d","徽商银行总行管培生（徽星计划)","本轮访问失败／受限","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","http://rczp.hsbank.com.cn/pc#/homepage","transport_error | 2026-09-17T15:31:47.522Z | artifacts/full-registry-review-20260917/discover-portal/702c6df1b63a75d1/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_60e5b42d240ef0fa0b2d/verification.json"
"co_07e399ed7a99b0aa72f8","徽商集团","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://jobs.51job.com/all/coCWhUMARvUmkHYlczXD8.html?timestamp__1258=mq0x0DyD2Wi%3DYGNqWxjhADuiDRnYDnDIcYD&alichlgref=https%3A%2F%2Fwe.51job.com%2F","no_api_discovered | 2026-09-17T15:29:56.620Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_94d8fe27c4b601033bff","徽记食品","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://xiaoyuan.zhaopin.com/job/CC120944710J40703694116?refcode=4430&srccode=443001&jobSourceType=1","no_api_discovered | 2026-09-17T15:29:57.417Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_7a73bf4f77b946368c33","徽银理财有限责任公司","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/gxZKkQuvW3Z0Y7Rp1ofzeg","retrieved_no_api_link | 2026-09-17T15:50:17.939Z | artifacts/full-registry-review-20260917/discover-wechat/af45f6aa665946ab/discovery.json",""
"co_c3386716218e5ac88e74","心动xTapTap","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://app.mokahr.com/campus-recruitment/xd/99361#/jobs?page=1&anchorName=jobsList","unverified | 2026-09-17T15:26:17.248Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_c3386716218e5ac88e74/verification.json",""
"co_27ba8504bde86bd5558c","心动×TapTap","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://app.mokahr.com/campus-recruitment/xd/99361#/
https://app.mokahr.com/campus-recruitment/xd/99361#/job/0a89d6d5-a33d-4ce3-a788-3e838fb4a51d
https://app.mokahr.com/campus-recruitment/xd/99361#/jobs?commitment%5B0%5D=%E5%AE%9E%E4%B9%A0&page=1&anchorName=jobsList","unverified | 2026-09-17T15:26:17.323Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_27ba8504bde86bd5558c/verification.json",""
"co_273a0fc7cffa0f7f731f","心田花开","已关联启用招聘来源","心田花开","主体已在启用来源中，核验时间见证据。","","https://mp.weixin.qq.com/s/9imkhF1F4Tw7Dlmuy_P-ew
https://mp.weixin.qq.com/s/KyzFifG1xumdcebZ5bjQAg
https://mp.weixin.qq.com/s/NO5N-s1WjKH2pJvUFARx5w
https://mp.weixin.qq.com/s/kzVIrvsOuMb9mWiOE3n40A
https://xintianhuakai1.zhiye.com/campus/jobs
https://xintianhuakai1.zhiye.com/campus/jobs?queryId=61f2d3b4-f50c-43d0-95b5-37e769379c84","","artifacts/industry-expansion-20260917/verify-ats-2/manifest.json
artifacts/industry-expansion-20260917/verify-ats-2/co_273a0fc7cffa0f7f731f/verification.json"
"co_0b9c9e07e9269128290b","心言集团","已关联启用招聘来源","心言集团","主体已在启用来源中，核验时间见证据。","","https://lightforyou.jobs.feishu.cn/campus","",""
"co_ca8ab8728ed0703689b8","心连心集团","已关联启用招聘来源","心连心集团","主体已在启用来源中，核验时间见证据。","","https://jobs.hnxlx.com/SU6844364e09e001fc97d743ad/mc/position/campus
https://mp.weixin.qq.com/s/k-09iz1A_Cd92HQEXyFWlw","","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_ca8ab8728ed0703689b8/verification.json"
"co_35db853089f9820024cf","必凡娱乐","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://s.xinrenxinshi.com/recruitGate/list#/ey=0ebdb004894877698f15cda9cd3a5b4480c864","retrieved_no_api_link | 2026-09-17T15:31:47.858Z | artifacts/full-registry-review-20260917/discover-portal/d30b6c6bee7c25d3/discovery.json",""
"co_56602d08bad94ead72d8","必威安泰","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/LCPzoNen50xNbJ0CBpZsdA","retrieved_no_api_link | 2026-09-17T15:50:42.144Z | artifacts/full-registry-review-20260917/discover-wechat/af067a513a4560f1/discovery.json",""
"co_06bdf42f9e560e4ae14f","必易微","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.nowcoder.com/careers/kiwi/158055
https://www.nowcoder.com/careers/kiwi/174682","no_api_discovered | 2026-09-17T15:29:40.606Z | artifacts/full-registry-review-20260917/platform-recovery/batch-liepin-boss_zhipin-nowcoder-taleo-oracle_recruiting-greenhouse.json
no_api_discovered | 2026-09-17T15:29:40.807Z | artifacts/full-registry-review-20260917/platform-recovery/batch-liepin-boss_zhipin-nowcoder-taleo-oracle_recruiting-greenhouse.json",""
"co_0413f44cf28647db0599","志特集团","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/Xk_8dNXCVNceUlM2WXaVsQ","retrieved_no_api_link | 2026-09-17T15:50:18.384Z | artifacts/full-registry-review-20260917/discover-wechat/252e5822c648fe30/discovery.json",""
"co_cf5aa99b5da7e14ca882","志邦家居","已关联启用招聘来源","志邦家居","主体已在启用来源中，核验时间见证据。","北森 tenantInfo.Alias=志邦家居股份有限公司。","https://zbom.zhiye.com/campus/jobs","verified_api_full_jd | 2026-09-17T15:26:18.073Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_cf5aa99b5da7e14ca882/verification.json",""
"co_a1bb38629b28f1c39c49","快乐学习","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/xEtM5L78SG0b7lxC0fl6Kg","retrieved_no_api_link | 2026-09-17T15:50:43.701Z | artifacts/full-registry-review-20260917/discover-wechat/4f3e9889a901e800/discovery.json",""
"co_fb56b82a77588efa2da5","快仓智能科技","已关联启用招聘来源","快仓智能","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://app.mokahr.com/campus_apply/flashhold/40527#/?anchorName=default_joblist&sourceToken=","","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/co_fb56b82a77588efa2da5/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
